legacy_system_id,obsolete_sensor_data,department_name,seniority_level,annual_salary
,, iT ,Junior,
,,  Sales,mid,121011.83
,, iT ,VP ,
,,IT,Junior,
,,sales,mid," $42,918.96 "
,, iT ,jUNior,"86,147 USD"
,,Marketing ,  SENIOR," $40,714.86 "
,, iT ,Director,"57,103 USD"
,, HR ,Junior,"79,488 USD"
,,Marketing ,  SENIOR,120270.5
,, HR ,Director,
,,  Sales,,"137,400 USD"
,,Marketing ,mid," $45,040.68 "
,,,  SENIOR," $134,084.95 "
,,IT,  SENIOR," $131,752.15 "
,,  Sales,  SENIOR,69367.56
,, iT ,Junior,58825.25
,,sales,mid,69694.26
,, iT ,VP ," $75,671.10 "
,,sales,,
,,  Sales,Director,63208.11
,, iT ,  SENIOR,94915.44
,,IT,mid,67129.03
,,Marketing ,  SENIOR,87127.72
,,IT,  SENIOR,149729.14
,,IT,Junior," $134,721.32 "
,, iT ,mid," $86,437.60 "
,,IT,Director,"91,485 USD"
,,Marketing ,," $114,831.18 "
,, iT ,VP ,"124,546 USD"
,, HR ,  SENIOR,89909.61
,, iT ,  SENIOR,123815.84
,, HR ,,132583.63
,,Marketing ,mid,
,,,mid,125648.91
,, HR ,VP ,"42,142 USD"
,,,,46371.77
,, HR ,Junior,129762.56
,,,mid,
,,IT,VP ,
,,Marketing ,,146079.92
,,,jUNior,"118,424 USD"
,, iT ,jUNior,"138,958 USD"
,, HR ,mid,77189.41
,,Marketing ,mid,40790.99
,, iT ,Junior,"139,596 USD"
,, HR ,VP ," $113,587.56 "
,,Marketing ,mid,137062.14
,,IT,mid," $128,824.67 "
,, HR ,Junior,"78,973 USD"
,,IT,,114070.1
,, HR ,Junior," $77,323.29 "
,,sales,mid,
,,IT,mid," $70,639.97 "
,,,Junior,134748.4
,, HR ,Junior," $99,464.67 "
,, HR ,,"58,294 USD"
,,IT,mid," $139,268.72 "
,,IT,Junior,"69,172 USD"
,,  Sales,Director,120355.58
,, iT ,jUNior," $60,888.77 "
,, HR ,VP ,"46,705 USD"
,, HR ,Junior,95313.54
,,sales,Junior," $48,812.26 "
,, HR ,VP ,
,,,mid,143575.57
,,sales,VP ,"108,132 USD"
,, iT ,VP ,"74,801 USD"
,,sales,jUNior,"66,255 USD"
,,sales,jUNior," $90,294.70 "
,, HR ,Director," $101,929.30 "
,, HR ,VP ,"69,172 USD"
,, HR ,mid,57352.15
,, iT ,  SENIOR,148595.64
,,Marketing ,Junior,101006.25
,, HR ,mid,137868.4
,,Marketing ,mid,106531.28
,,  Sales,mid,133820.41
,,IT,  SENIOR," $133,071.41 "
,, iT ,Director,"44,850 USD"
,,,mid,68815.08
,,IT,VP ," $101,699.76 "
,, HR ,jUNior,"100,015 USD"
,,Marketing ,VP ,
,,sales,Junior," $138,887.96 "
,,  Sales,mid,"113,363 USD"
,,,VP ,84701.51
,, iT ,mid," $66,041.11 "
,,,,
,,IT,Junior,
,,  Sales,,128245.87
,,,mid," $126,611.20 "
,,IT,,
,,IT,mid,
,,IT,  SENIOR," $127,488.00 "
,,sales,Junior,"83,831 USD"
,,,Junior,70703.75
,,Marketing ,Director,"132,803 USD"
,, HR ,Junior,68733.67
,,  Sales,Junior,
,,IT,  SENIOR,74504.5
,,Marketing ,Junior,"103,425 USD"
,, HR ,jUNior,97191.24
,, iT ,jUNior," $121,074.15 "
,,  Sales,Director,
,, iT ,  SENIOR," $112,972.62 "
,, iT ,  SENIOR,"113,358 USD"
,,IT,jUNior,"54,002 USD"
,, iT ,Director,139308.61
,,Marketing ,  SENIOR,"131,710 USD"
,,  Sales,mid,103798.33
,,  Sales,Director,114319.0
,,IT,," $127,562.72 "
,, iT ,Junior,113023.92
,,  Sales,Junior,122625.2
,,  Sales,mid," $56,208.94 "
,,sales,Director,"124,534 USD"
,,IT,jUNior,"119,018 USD"
,,IT,Director," $112,166.38 "
,,,,"51,725 USD"
,,sales,mid,"116,550 USD"
,, HR ,VP ,"133,317 USD"
,,sales,,98424.51
,,Marketing ,  SENIOR,138056.85
,,,jUNior,86941.48
,,IT,mid,"92,214 USD"
,,,mid,70504.25
,,IT,jUNior,88385.99
,,  Sales,mid,75168.05
,, HR ,mid,
,,IT,jUNior,
,,sales,Junior,"76,397 USD"
,,IT,Junior,86215.79
,, iT ,Junior,"124,215 USD"
,,IT,Junior,"72,847 USD"
,,,,122226.72
,,,VP ,"93,705 USD"
,,IT,Director,
,,  Sales,jUNior," $84,474.83 "
,,,Director,147879.42
,, HR ,Director," $112,929.97 "
,, iT ,Director,
,,IT,mid,
,,IT,  SENIOR,"75,953 USD"
,,  Sales,," $86,372.13 "
,,IT,Junior,"45,729 USD"
,,sales,jUNior,
,, iT ,Junior," $144,457.29 "
,,,Junior,"66,240 USD"
,, iT ,Junior,63976.1
,,  Sales,,106648.2
,, iT ,Junior,"58,014 USD"
,, HR ,VP ,
,,  Sales,VP ,"145,399 USD"
,, iT ,mid,
,, iT ,,"51,209 USD"
,,,jUNior,53316.06
,,,Junior,"87,122 USD"
,, HR ,VP ,"41,392 USD"
,,,Director,
,,  Sales,jUNior," $90,571.33 "
,,IT,mid,"146,202 USD"
,,Marketing ,,"125,211 USD"
,,IT,," $69,523.51 "
,,,Junior,"89,588 USD"
,,Marketing ,VP ,"77,004 USD"
,,,  SENIOR,
,,sales,  SENIOR,77437.27
,, iT ,  SENIOR," $96,829.00 "
,, HR ,mid," $93,743.56 "
,, iT ,Director," $93,990.35 "
,, HR ,  SENIOR,"116,097 USD"
,, iT ,VP ,"100,882 USD"
,,IT,jUNior,"78,699 USD"
,,  Sales,  SENIOR," $53,272.15 "
